text,label
"Nothing I ever do is good enough, it's either perfect or it's a complete failure.",All-or-nothing thinking
"If I can't do it perfectly, there's no point in even trying.",All-or-nothing thinking
"My whole day is ruined because I made one mistake this morning.",All-or-nothing thinking
"Either people love me completely or they don't care about me at all.",All-or-nothing thinking
"If I don't get an A on this exam, I'm a total failure.",All-or-nothing thinking
"My presentation wasn't flawless so it was a complete disaster.",All-or-nothing thinking
"If he doesn't text me back immediately, he must hate me.",All-or-nothing thinking
"I either eat perfectly healthy or I just binge on everything.",All-or-nothing thinking
"There's no middle ground with my boss, he either loves my work or thinks I'm incompetent.",All-or-nothing thinking
"If I can't be the best at this, I might as well quit entirely.",All-or-nothing thinking
"My relationship is either the best thing ever or completely toxic.",All-or-nothing thinking
"I didn't finish my whole to-do list so the entire day was wasted.",All-or-nothing thinking
"If this job interview doesn't go perfectly, I'll never get hired anywhere.",All-or-nothing thinking
"People are either completely trustworthy or they're out to get you.",All-or-nothing thinking
"Since I broke my diet today, the whole week of healthy eating is pointless.",All-or-nothing thinking
"If my friend cancels once, it means our friendship means nothing to them.",All-or-nothing thinking
"I'm either the life of the party or a complete social outcast.",All-or-nothing thinking
"My essay is garbage because it's not as good as the best one in class.",All-or-nothing thinking
"If I'm not completely happy, then I must be depressed.",All-or-nothing thinking
"Either this medication works perfectly or it's useless.",All-or-nothing thinking
"I failed one test so my entire academic career is over.",All-or-nothing thinking
"If my partner doesn't agree with everything I say, we're incompatible.",All-or-nothing thinking
"My workout was pointless because I couldn't finish all the reps.",All-or-nothing thinking
"If I'm not the smartest person in the room, I'm the dumbest.",All-or-nothing thinking
"Since my first marriage failed, I'm incapable of having a successful relationship.",All-or-nothing thinking
"If I can't run a full marathon, there's no point in running at all.",All-or-nothing thinking
"My painting is either a masterpiece or it belongs in the trash.",All-or-nothing thinking
"I'm either completely organized or my life is total chaos.",All-or-nothing thinking
"If I don't get promoted this year, my career is going nowhere.",All-or-nothing thinking
"Either everyone at the party liked me or they all thought I was weird.",All-or-nothing thinking
"I can't just be okay at cooking, I'm either a great chef or terrible.",All-or-nothing thinking
"If my therapist can't fix everything, therapy is a waste of time.",All-or-nothing thinking
"Since I yelled at my kids today, I'm a horrible parent.",All-or-nothing thinking
"If this business doesn't succeed immediately, it's a complete failure.",All-or-nothing thinking
"I'm either fully committed to this project or I shouldn't bother at all.",All-or-nothing thinking
"My date went silent for a moment so the whole evening was awkward.",All-or-nothing thinking
"If I can't solve this problem right away, I'm clearly not smart enough.",All-or-nothing thinking
"Everything about my life is either amazing or falling apart.",All-or-nothing thinking
"If I show any weakness, people will think I'm completely incompetent.",All-or-nothing thinking
"Since I didn't get a perfect score, I might as well have gotten a zero.",All-or-nothing thinking
"I either trust someone completely or not at all, there's no in between.",All-or-nothing thinking
"If my speech isn't the best one at the conference, it was embarrassing.",All-or-nothing thinking
"My house is either spotless or it's a disgusting mess.",All-or-nothing thinking
"If I can't control my anxiety completely, I'll never be normal.",All-or-nothing thinking
"Since I forgot her birthday, I'm the worst friend in the world.",All-or-nothing thinking
"Either this new treatment cures me or nothing will.",All-or-nothing thinking
"I'm either totally productive or completely lazy, there's no middle ground.",All-or-nothing thinking
"If I can't be as successful as my siblings, I'm a disappointment.",All-or-nothing thinking
"My performance review wasn't all positive so I must be about to get fired.",All-or-nothing thinking
"If I can't find the perfect solution, then there's no solution at all.",All-or-nothing thinking
"I'm either on top of the world or rock bottom, nothing in between.",All-or-nothing thinking
"If my writing isn't brilliant, it's worthless.",All-or-nothing thinking
"Since one friend betrayed me, I can't trust anyone ever again.",All-or-nothing thinking
"If I don't feel 100% ready, I shouldn't even attempt it.",All-or-nothing thinking
"My vacation was ruined because the weather was bad for one day.",All-or-nothing thinking
"Either I'm completely over my ex or I'm still madly in love with them.",All-or-nothing thinking
"If I can't give a flawless performance, I'd rather not perform.",All-or-nothing thinking
"I'm either the perfect employee or a total slacker.",All-or-nothing thinking
"If my children aren't excelling in everything, I've failed as a parent.",All-or-nothing thinking
"Since I couldn't save that patient, I'm a terrible doctor.",All-or-nothing thinking
"If I'm not completely confident, everyone can tell I'm insecure.",All-or-nothing thinking
"I have to be everything to everyone or I'm letting them all down.",All-or-nothing thinking
"If this friendship isn't perfect, it's not worth having.",All-or-nothing thinking
"Since I slipped up once in recovery, all my progress is gone.",All-or-nothing thinking
"If I can't handle this on my own, I'm weak.",All-or-nothing thinking
